pole_id,bus,feeder,bus_type,phase_count,phase_type,pole_height_ft,pole_height_m,longitude,latitude,depth_in_tree,parent_bus,parent_pole_id,span_ft_to_parent,span_m_to_parent,spacing_template
P1413,e203026,S3,e,3,3-phase,40,12.19,-119.2412838,46.68271272,1,hvmv11sub3_lsb,,0.0,0.0,
P1414,m1009650,S3,m,3,3-phase,40,12.19,-119.238392,46.68575126,2,e203026,P1413,890.7,271.49,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1415,m1009651,S3,m,3,3-phase,40,12.19,-119.2382887,46.68584736,3,m1009650,P1414,29.6,9.02,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1416,l2879092,S3,l,1,1-phase,35,10.67,-119.2386275,46.68654592,4,m1009651,P1415,173.0,52.73,1ph-xx2_acsr2_acsr_C
P1417,m1026655,S3,m,3,3-phase,40,12.19,-119.237501,46.68646472,4,m1009651,P1415,207.0,63.09,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1418,n1141475,S3,n,1,1-phase,35,10.67,-119.2376198,46.68657428,5,m1026655,P1417,33.9,10.33,1ph-xx2_acsr2_acsr_C
P1419,n1141474,S3,n,1,1-phase,35,10.67,-119.237429,46.68642608,5,m1026655,P1417,16.4,5.0,1ph-2_acsrxx2_acsr_A
P1420,m1026658,S3,m,3,3-phase,40,12.19,-119.2366095,46.68716346,5,m1026655,P1417,234.3,71.41,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1421,m1009655,S3,m,1,1-phase,35,10.67,-119.2377114,46.68665874,6,n1141475,P1418,26.1,7.96,1ph-xx2_acsr2_acsr_C
P1422,l2710518,S3,l,1,1-phase,35,10.67,-119.2370874,46.68624304,6,n1141474,P1419,77.7,23.68,1ph-2_acsrxx2_acsr_A
P1423,l3172805,S3,l,1,1-phase,35,10.67,-119.235521,46.68593874,6,m1026658,P1420,350.0,106.68,1ph-2_acsrxx2_acsr_A
P1424,l2673319,S3,l,3,3-phase,40,12.19,-119.2361939,46.6874892,6,m1026658,P1420,109.2,33.28,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1425,m1026662,S3,m,3,3-phase,40,12.19,-119.2343047,46.688787,7,l2673319,P1424,468.7,142.86,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1426,m1026670,S3,m,3,3-phase,40,12.19,-119.2338653,46.68936396,8,m1026662,P1425,156.9,47.82,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P1427,n1140831,S3,n,1,1-phase,35,10.67,-119.2343063,46.68925692,8,m1026662,P1425,107.9,32.89,1ph-xx4_wpal4_wpal_C
P1428,n1140832,S3,n,1,1-phase,35,10.67,-119.2344138,46.6888754,8,m1026662,P1425,29.1,8.87,1ph-xx2_acsr2_acsr_C
